"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@MA22Als Thank you for reaching out. Please visit our Help Center to learn how to keep your account secure: https://t.co/6Xl5dZXd7q -UP",FALSE,0,"MA22Als",2020-04-03 22:22:47,FALSE,"1242165756428763136","1246201508225372161","572791395","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@ANewJourney3 Hi there. Facebook is a community where everyone uses the name they go by in everyday life. This make… https://t.co/D0hnfkvIYJ",FALSE,0,"ANewJourney3",2020-04-03 22:08:25,TRUE,"1243708269362851840","1246197891158310913","1013648582212247552","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@blingedtiger23 Blingedtiger23, please follow these steps to get back into your account: https://t.co/ZeIulKzILb. -IK",FALSE,0,"blingedtiger23",2020-04-02 13:59:15,FALSE,"1245515412818681857","1245712404010291200","2929043383","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@ALIViral1 Thank you for sending your documents as requested, ALIViral1. We have fewer people available to review I… https://t.co/LPe0ioAx9S",FALSE,0,"ALIViral1",2020-04-02 13:58:54,TRUE,"1243610855612329984","1245712312100503554","3173851258","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@markdeakin Markdeakin, please ensure that you are following this advice when adding your sister's WhatsApp account… https://t.co/82TpH6K1yK",FALSE,0,"markdeakin",2020-04-02 13:58:02,TRUE,"1243610784883781634","1245712096630697984","20099537","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@Mishra_Parimal If you can't connect to WhatsApp, this is usually caused by an issue with your Internet connection… https://t.co/JNuKZ5TFxf",FALSE,0,"Mishra_Parimal",2020-04-02 13:57:38,TRUE,"1243609535530635264","1245711997070495747","553618616","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@1337Duck 1337Duck, we described how you could get back to your Facebook account if we've asked you to confirm your… https://t.co/afpxaZTQam",FALSE,0,"1337Duck",2020-04-02 13:56:52,TRUE,"1245382105976246272","1245711803637628928","274938845","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@GeekyAshLee GeekyAshLee, please make sure that you are using the newest version of the Facebook app or follow thes… https://t.co/DS3Sg8ILFC",FALSE,0,"Facebook",2020-04-02 13:56:15,TRUE,"1244996312799408128","1245711646049222656","2425151","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"It's #CensusDay in the US -- and we're working with @uscensusbureau to get out the count. To help make sure everyon… https://t.co/q1KOMa7OFV",FALSE,165,NA,2020-04-01 17:32:49,TRUE,NA,"1245403759636656133",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Facebook",54,FALSE,FALSE,NA,NA
"@davidemalta We hear you, Davidemalta. Please report this issue to us, and we will have a look:… https://t.co/gT4Swe1IR9",FALSE,0,"davidemalta",2020-04-01 14:56:36,TRUE,"1244870161754206214","1245364444944687104","28266719","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@sid29shobhit @GoI_MeitY Sid29shobhit, we understand that losing your account can be frustrating. If you think that… https://t.co/U4loY6xLvk",FALSE,1,"sid29shobhit",2020-04-01 14:56:07,TRUE,"1245071206778200064","1245364324840833024","1143917853860495361","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@1337Duck We would need more details to be able to assist you further, 1337Duck. What exactly is preventing your fo… https://t.co/Wd2nI0X4qy",FALSE,1,"1337Duck",2020-04-01 14:55:32,TRUE,"1243562855380770817","1245364178962894848","274938845","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@BeauHarrie You can solve login problems by visiting this page: https://t.co/ZeIulKzILb, BeauHarrie. Or follow this… https://t.co/xS4oBVrRDU",FALSE,0,"BeauHarrie",2020-04-01 14:55:07,TRUE,"1243559597962600448","1245364073622978561","1028139861583310848","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@Noviee1511 Noviee1511, please ensure that you have taken all the steps described here: https://t.co/DGc8UaeruX. We… https://t.co/ZwuAelSQqh",FALSE,0,"Noviee1511",2020-04-01 14:54:48,TRUE,"1243544596979777537","1245363995248189445","465103456","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@GeekyAshLee We're trying hard to address all the reports, GeekyAshLee. Please stay with us while we're working on the solution. -IK",FALSE,0,"Facebook",2020-04-01 14:51:01,FALSE,"1244996312799408128","1245363041203392518","2425151","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@Ishant97Ishu We know waiting can be hard, but please allow us some time to verify your request. -IK",FALSE,0,"Ishant97Ishu",2020-04-01 14:50:00,FALSE,"1244995134850076673","1245362783685754888","1742154042","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@tattoosandbones Hi Trevor. If someone is impersonating you on Facebook, please follow these steps to report the ac… https://t.co/Kd4yP6jAUv",FALSE,0,"tattoosandbones",2020-03-31 23:49:12,TRUE,"1242154698708115456","1245136093676068865","248003334","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@keribirder Hi Keri. Thank you for your feedback. Please let us know what we can do to improve your experience thro… https://t.co/7J21klsXjX",FALSE,0,"keribirder",2020-03-31 23:44:49,TRUE,"1241071413022392324","1245134989752074240","1130574290116665346","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@mastoibalouchs Hi Sohail. This could mean someone is trying to access your account. We send confirmation codes whe… https://t.co/yi53ipYQnD",FALSE,1,"mastoibalouchs",2020-03-31 20:15:28,TRUE,"1243747805166022657","1245082302599712768","1180128707475902464","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"We’re never lost if we can find each other. If you need help, or can offer it, visit our support hub:… https://t.co/Z5pIqjnfPq",FALSE,678,NA,2020-03-31 19:11:33,TRUE,NA,"1245066217007632384",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","Facebook",320,FALSE,FALSE,NA,NA
"@SlytherinSasha Hi SlytherinSasha. Please follow these steps to secure your account: https://t.co/MLhGANiXsm. We hope it helps. -IK",FALSE,0,"SlytherinSasha",2020-03-31 14:35:01,FALSE,"1243245849590796296","1244996626994720768","2201628092","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@GeekyAshLee Thanks for reaching out, GeekyAshLee. Are you following these instructions: https://t.co/rAFjFP5M8Y? -IK",FALSE,0,"GeekyAshLee",2020-03-31 14:33:46,FALSE,"1243243152963706883","1244996312799408128","279260022","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@Ishant97Ishu Ishant97Ishu, please follow this advice if you think that your Facebook Page was hacked:… https://t.co/FP7JZLp5dY",FALSE,0,"Ishant97Ishu",2020-03-31 14:26:47,TRUE,"1243203931150278656","1244994555163729920","1742154042","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"RT @campbell_brown: Journalists are working around the clock to bring us vital information about the coronavirus outbreak. Today, Facebook…",FALSE,0,NA,2020-03-30 13:48:02,FALSE,NA,"1244622414450790402",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Facebook",62,TRUE,FALSE,NA,NA
"@lolaty34 Hi there. To recover an old facebook account please visit our Help Center: https://t.co/4mftKZFK8W. -UP",FALSE,1,"lolaty34",2020-03-30 00:29:16,FALSE,"1242482130506186753","1244421397520084992","1329157813","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@282Parth Hi Parth. If you're having trouble logging in, please visit our Help Center for troubleshooting tips: https://t.co/1SITPzO0N3. -AM",FALSE,0,"282Parth",2020-03-27 18:33:40,FALSE,"1242146627604770816","1243607135591624705","864271112","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"A man facing challenges with depression finds community and friendship in an unexpected place--a @FacebookGaming st… https://t.co/iwQSKYe9Ro",FALSE,201,NA,2020-03-27 17:56:19,TRUE,NA,"1243597733811769345",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","Facebook",60,FALSE,FALSE,NA,NA
"@yonathanseleshi Yonathanseleshi, we donated our emergency reserve of 720,000 masks that we had bought in case the… https://t.co/KHTuDW5JIY",FALSE,3,"yonathanseleshi",2020-03-27 15:10:54,TRUE,"1241946941229084672","1243556104920944640","18097208","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",1,FALSE,FALSE,NA,NA
"@eapolsniper We love to hear that, Eapolsniper. Thanks for sharing your thoughts. -IK",FALSE,0,"eapolsniper",2020-03-27 15:10:14,FALSE,"1241946022798131200","1243555937064865793","984033163","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@realnycnative Realnycnative, please mark posts as containing false information by taking these steps:… https://t.co/ndIC1zCV2H",FALSE,1,"realnycnative",2020-03-27 15:09:49,TRUE,"1241890956049289218","1243555834627407872","947864784933924864","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@markperrymedia We love to hear that, Markperrymedia. Please let us know your thoughts here: https://t.co/gRpkfcJ8dA. -IK",FALSE,0,"markperrymedia",2020-03-27 15:09:24,FALSE,"1241548798863826950","1243555728935120897","793236218498654208","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
"@bowling23 That's what we're here for, Bowling23. It is our goal to help people stay connected and to bring the world closer together. -IK",FALSE,2,"bowling23",2020-03-27 15:09:05,FALSE,"1241543364597518337","1243555648249315328","94553112","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",1,FALSE,FALSE,NA,NA
"@elsie2502 It's important to us that we ensure everyone has all the accurate facts regarding COVID-19. Thank you fo… https://t.co/54rC9ljiyT",FALSE,1,"elsie2502",2020-03-27 15:05:29,TRUE,"1241538048522964992","1243554740903923714","2719138450","<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Facebook",0,FALSE,FALSE,NA,NA
